Title,Content,Comment,Date
Re: [討論] Nokia XR20 三防手機 評測 (399英鎊),   印度專測耐久度頻道 買到 Nokia XR20 前幾天先做開箱評測   今天就來做個..刮刮樂 以及 丟丟樂~   Strongest Phone in the World - Nokia XR20 Durability Test !   https://youtu.be/Y1Jk3yzz8qQ   前面是傳統的又刮又折，影片5:50 拉到屋頂 也是先一般高度試摔   最後爬到水塔上(約3公尺高) 往下丟 邊框方面還是有破損   可惜沒有真的往樓下丟下去看會如何?,記得還有看過直接倒液態氮在上面的,2021/11/15
[討論] Nokia XR20 三防手機 評測 (399英鎊),"   Nokia XR20 Review | Super-Rugged, But At What Cost?   https://youtu.be/FZtbN8RZJSU    三防 IP68  248克    驍龍480(支援5G+ Wifi-6) 性能約驍龍720G 等級    歐版承諾 3年更新 4年安全更新 第一年螢幕摔壞 免費修    IPS螢幕 但是有康寧Victus玻璃    有一個點 作者很不滿 凸出的google助手鍵的位置 一直會碰到 ....    雙喇叭但是聲音還好 有耳機孔    4630mAh電池 18W有線 和 15W無線充    48MP主攝 13MP超廣角 8MP前鏡    日常拍照 就..OK(HDR沒有很用力) 有夜景模式 錄影只有1080P    4/64GB   399英鎊    6/128GB  449英鎊",對桌布比較有興趣...。三防手機來說還ok，不過15k以上有子龍8。不錯啊。台灣會進嗎？充電孔問題解決了嗎？。居然有無線充，這款主打不用手機殼。449跟5a同價位 這也太臭了。不錯！！！！！。手上的Nokia 6.1 plus 一直被尾插問題困擾，這個。通病不知改善沒。。這批新機什麼時候才會進..想換都沒得換...。貴。快進來吧，我的Nokia 6快不行了~有感升級預備。248g..夭壽重。+1，Nokia 6 摔了二十幾次螢幕邊角有小裂痕，差不。多該換了……,2021/08/18
