Brand_Name,Phone_Name,Link,Icon
htc,HTC Velocity 4G,https://www.dcfever.com/phones/specification.php?id=2023,../icon/HTC Velocity 4G.jpg
htc,HTC Titan II,https://www.dcfever.com/phones/specification.php?id=2021,../icon/HTC Titan II.jpg
htc,HTC Titan,https://www.dcfever.com/phones/specification.php?id=1967,../icon/HTC Titan.jpg
htc,HTC Explorer,https://www.dcfever.com/phones/specification.php?id=2006,../icon/HTC Explorer.jpg
htc,HTC Sensation XL,https://www.dcfever.com/phones/specification.php?id=1995,../icon/HTC Sensation XL.jpg
htc,HTC Rhyme,https://www.dcfever.com/phones/specification.php?id=1981,../icon/HTC Rhyme.jpg
htc,HTC ChaCha,https://www.dcfever.com/phones/specification.php?id=1909,../icon/HTC ChaCha.jpg
htc,HTC EVO 3D,https://www.dcfever.com/phones/specification.php?id=1917,../icon/HTC EVO 3D.jpg
htc,HTC Salsa,https://www.dcfever.com/phones/specification.php?id=1910,../icon/HTC Salsa.jpg
htc,HTC Sensation,https://www.dcfever.com/phones/specification.php?id=1920,../icon/HTC Sensation.jpg
htc,HTC Wildfire S,https://www.dcfever.com/phones/specification.php?id=1911,../icon/HTC Wildfire S.jpg
htc,HTC Desire S,https://www.dcfever.com/phones/specification.php?id=1912,../icon/HTC Desire S.jpg
htc,HTC Incredible S,https://www.dcfever.com/phones/specification.php?id=1908,../icon/HTC Incredible S.jpg
htc,HTC Desire HD,https://www.dcfever.com/phones/specification.php?id=1828,../icon/HTC Desire HD.jpg
htc,HTC Desire Z,https://www.dcfever.com/phones/specification.php?id=1827,../icon/HTC Desire Z.jpg
htc,HTC HD7,https://www.dcfever.com/phones/specification.php?id=1835,../icon/HTC HD7.jpg
htc,HTC 7 Mozart,https://www.dcfever.com/phones/specification.php?id=1841,../icon/HTC 7 Mozart.jpg
htc,HTC Aria,https://www.dcfever.com/phones/specification.php?id=1782,../icon/HTC Aria.jpg
htc,HTC Wildfire,https://www.dcfever.com/phones/specification.php?id=1763,../icon/HTC Wildfire.jpg
htc,HTC Desire,https://www.dcfever.com/phones/specification.php?id=1726,../icon/HTC Desire.jpg
htc,HTC Smart,https://www.dcfever.com/phones/specification.php?id=1686,../icon/HTC Smart.jpg
htc,HTC Legend,https://www.dcfever.com/phones/specification.php?id=1724,../icon/HTC Legend.jpg
htc,HTC HD mini,https://www.dcfever.com/phones/specification.php?id=1725,../icon/HTC HD mini.jpg
htc,HTC Google Nexus One,https://www.dcfever.com/phones/specification.php?id=1684,../icon/HTC Google Nexus One.jpg
htc,HTC HD2,https://www.dcfever.com/phones/specification.php?id=1649,../icon/HTC HD2.jpg
htc,HTC Tattoo,https://www.dcfever.com/phones/specification.php?id=1636,../icon/HTC Tattoo.jpg
htc,HTC Touch2,https://www.dcfever.com/phones/specification.php?id=1632,../icon/HTC Touch2.jpg
htc,HTC Hero,https://www.dcfever.com/phones/specification.php?id=1591,../icon/HTC Hero.jpg
htc,HTC Touch Pro2,https://www.dcfever.com/phones/specification.php?id=1535,../icon/HTC Touch Pro2.jpg
htc,HTC Magic,https://www.dcfever.com/phones/specification.php?id=1537,../icon/HTC Magic.jpg
htc,HTC Touch Cruise 09,https://www.dcfever.com/phones/specification.php?id=1514,../icon/HTC Touch Cruise 09.jpg
htc,HTC Touch 3G,https://www.dcfever.com/phones/specification.php?id=1452,../icon/HTC Touch 3G.jpg
htc,HTC Touch HD,https://www.dcfever.com/phones/specification.php?id=1453,../icon/HTC Touch HD.jpg
htc,HTC Touch Viva,https://www.dcfever.com/phones/specification.php?id=1451,../icon/HTC Touch Viva.jpg
htc,HTC Touch Pro,https://www.dcfever.com/phones/specification.php?id=1388,../icon/HTC Touch Pro.jpg
htc,HTC Touch Diamond,https://www.dcfever.com/phones/specification.php?id=1374,../icon/HTC Touch Diamond.jpg
htc,HTC P3470,https://www.dcfever.com/phones/specification.php?id=1350,../icon/HTC P3470.jpg
htc,HTC Shift,https://www.dcfever.com/phones/specification.php?id=1322,../icon/HTC Shift.jpg
htc,HTC S730,https://www.dcfever.com/phones/specification.php?id=1332,../icon/HTC S730.jpg
htc,HTC Touch Cruise,https://www.dcfever.com/phones/specification.php?id=1331,../icon/HTC Touch Cruise.jpg
htc,HTC TyTN II,https://www.dcfever.com/phones/specification.php?id=1282,../icon/HTC TyTN II.jpg
htc,HTC Touch Dual,https://www.dcfever.com/phones/specification.php?id=1295,../icon/HTC Touch Dual.jpg
htc,HTC Snap,https://www.dcfever.com/phones/specification.php?id=1555,../icon/HTC Snap.jpg
htc,HTC 7 Pro,https://www.dcfever.com/phones/specification.php?id=1839,../icon/HTC 7 Pro.jpg
htc,HTC Trophy,https://www.dcfever.com/phones/specification.php?id=1840,../icon/HTC Trophy.jpg
htc,HTC 7 Surround,https://www.dcfever.com/phones/specification.php?id=1842,../icon/HTC 7 Surround.jpg
htc,HTC Gratia,https://www.dcfever.com/phones/specification.php?id=1846,../icon/HTC Gratia.jpg
htc,HTC Inspire 4G,https://www.dcfever.com/phones/specification.php?id=1877,../icon/HTC Inspire 4G.jpg
htc,HTC Freestyle,https://www.dcfever.com/phones/specification.php?id=1878,../icon/HTC Freestyle.jpg
htc,HTC U1000,https://www.dcfever.com/phones/specification.php?id=1174,../icon/HTC U1000.jpg
htc,HTC S740,https://www.dcfever.com/phones/specification.php?id=1446,../icon/HTC S740.jpg
htc,HTC Dream G1,https://www.dcfever.com/phones/specification.php?id=1455,../icon/HTC Dream G1.jpg
htc,HTC Radar,https://www.dcfever.com/phones/specification.php?id=1969,../icon/HTC Radar.jpg
htc,HTC Sensation XE with Beats Audio,https://www.dcfever.com/phones/specification.php?id=1973,../icon/HTC Sensation XE with Beats Audio.jpg
htc,HTC One mini 2,https://www.dcfever.com/phones/specification.php?id=2255,../icon/HTC One mini 2.jpg
htc,HTC Touch,https://www.dcfever.com/phones/specification.php?id=1234,../icon/HTC Touch.jpg
htc,HTC MAX 4G,https://www.dcfever.com/phones/specification.php?id=1490,../icon/HTC MAX 4G.jpg
htc,HTC Rezound,https://www.dcfever.com/phones/specification.php?id=2002,../icon/HTC Rezound.jpg
htc,HTC Butterfly 2,https://www.dcfever.com/phones/specification.php?id=2291,../icon/HTC Butterfly 2.jpg
htc,HTC P3600i,https://www.dcfever.com/phones/specification.php?id=1274,../icon/HTC P3600i.jpg
htc,HTC Touch Diamond2,https://www.dcfever.com/phones/specification.php?id=1534,../icon/HTC Touch Diamond2.jpg
huawei_logo,Huawei Y7 Prime 2018,https://www.dcfever.com/phones/specification.php?id=2645,../icon/Huawei Y7 Prime 2018.jpg
huawei_logo,Huawei P20 Pro,https://www.dcfever.com/phones/specification.php?id=2635,../icon/Huawei P20 Pro.jpg
huawei_logo,Huawei P20,https://www.dcfever.com/phones/specification.php?id=2634,../icon/Huawei P20.jpg
huawei_logo,Huawei P20 Lite,https://www.dcfever.com/phones/specification.php?id=2633,../icon/Huawei P20 Lite.jpg
huawei_logo,Huawei Mate 10 Pro,https://www.dcfever.com/phones/specification.php?id=2584,../icon/Huawei Mate 10 Pro.jpg
huawei_logo,Porsche Design Huawei Mate 10,https://www.dcfever.com/phones/specification.php?id=2586,../icon/Porsche Design Huawei Mate 10.jpg
huawei_logo,Huawei Mate 10,https://www.dcfever.com/phones/specification.php?id=2585,../icon/Huawei Mate 10.jpg
huawei_logo,Huawei nova 2i,https://www.dcfever.com/phones/specification.php?id=2588,../icon/Huawei nova 2i.jpg
huawei_logo,Huawei Nova 2 Plus,https://www.dcfever.com/phones/specification.php?id=2562,../icon/Huawei Nova 2 Plus.jpg
huawei_logo,Huawei Y7 Prime,https://www.dcfever.com/phones/specification.php?id=2552,../icon/Huawei Y7 Prime.jpg
huawei_logo,Huawei P10 Lite,https://www.dcfever.com/phones/specification.php?id=2544,../icon/Huawei P10 Lite.jpg
huawei_logo,Huawei P10,https://www.dcfever.com/phones/specification.php?id=2533,../icon/Huawei P10.jpg
huawei_logo,Huawei P10 Plus,https://www.dcfever.com/phones/specification.php?id=2534,../icon/Huawei P10 Plus.jpg
huawei_logo,Huawei Mate 9 Pro,https://www.dcfever.com/phones/specification.php?id=2498,../icon/Huawei Mate 9 Pro.jpg
huawei_logo,Huawei Honor Magic,https://www.dcfever.com/phones/specification.php?id=2509,../icon/Huawei Honor Magic.jpg
