Brand_Name,Phone_Name,Link,Icon
oppo,Oppo A77 5G,https://www.dcfever.com/phones/specification.php?id=2985,../icon/Oppo A77 5G.jpg
oppo,Oppo Reno 7 Pro,https://www.dcfever.com/phones/specification.php?id=2967,../icon/Oppo Reno 7 Pro.jpg
oppo,Oppo Reno 7,https://www.dcfever.com/phones/specification.php?id=2968,../icon/Oppo Reno 7.jpg
sharp,Sharp Aquos R6,https://www.dcfever.com/phones/specification.php?id=2910,../icon/Sharp Aquos R6.jpg
sharp,Sharp Aquos R7,https://www.dcfever.com/phones/specification.php?id=2982,../icon/Sharp Aquos R7.jpg
realme,realme7 5G,https://www.dcfever.com/phones/specification.php?id=2876,../icon/realme7 5G.jpg
realme,realme X50 5G,https://www.dcfever.com/phones/specification.php?id=2834,../icon/realme X50 5G.jpg
sony,Sony Xperia 1 III,https://www.dcfever.com/phones/specification.php?id=2888,../icon/Sony Xperia 1 III.jpg
sony,Sony Xperia 5 III,https://www.dcfever.com/phones/specification.php?id=2889,../icon/Sony Xperia 5 III.jpg
sony,Sony Xperia 1 IV,https://www.dcfever.com/phones/specification.php?id=2971,../icon/Sony Xperia 1 IV.jpg
sony,Sony Xperia 10 IV,https://www.dcfever.com/phones/specification.php?id=2972,../icon/Sony Xperia 10 IV.jpg
sony,Sony Xperia Pro-I,https://www.dcfever.com/phones/specification.php?id=2934,../icon/Sony Xperia Pro-I.jpg
vivo,vivo X70,https://www.dcfever.com/phones/specification.php?id=2928,../icon/vivo X70.jpg
vivo,vivo X70 Pro,https://www.dcfever.com/phones/specification.php?id=2926,../icon/vivo X70 Pro.jpg
vivo,vivo V23 5G,https://www.dcfever.com/phones/specification.php?id=2944,../icon/vivo V23 5G.jpg
vivo,vivo X80,https://www.dcfever.com/phones/specification.php?id=2974,../icon/vivo X80.jpg
vivo,vivo X80 Pro,https://www.dcfever.com/phones/specification.php?id=2973,../icon/vivo X80 Pro.jpg
