Post Title,Link,Date
Sony 為 Xperia 機種帶來 Android 12 升級,https://chinese.engadget.com//sony-mobile-android-12-xperia-1-iii-xperia-5-iii-103037033.html,2022-03-09
Sony Xperia 5 III 香港上市終於有期,https://chinese.engadget.com//sony-xperia-5-iii-hk-price-044702297.html,2021-10-26
Sony「合手旗艦機」Xperia 5 III 在台灣推出,https://chinese.engadget.com//sony-xperia-5-iii-tw-080029331.html,2021-09-07
搭載 4K 120Hz 螢幕、可變式望遠相機的 Sony Xperia 1 III 攜 5 III、10 III 登場,https://chinese.engadget.com//sony-xperia-1-iii-xperia-5-iii-pro-camera-smartphones-5g-specs-074108318.html,2021-04-14
