Post Title,Link,Content,Date
['oneplus 9'],https://www.mobile01.com/topicdetail.php?f=586&t=6423248,['oneplus 9 無法分享熱點給家用電腦使用 onsplus 5t 可以的有設定的問題嗎 ???thanks'],2021-07-31
['oneplus 9 pro 120hz'],https://www.mobile01.com/topicdetail.php?f=586&t=6368347,"[""請教各大神~看了阿哲介紹oneplus 9 pro的影片，裡面有介紹開啟YouTube有120hz，於是尋找方法，結果出現.E:\\adb>adb shellerror: device unauthorized.This adb server's $ADB_VENDOR_KEYS is not setTry 'adb kill-server' if that seems wrong.Otherwise check for a confirmation dialog on your device.一直不成功，請教是什麼原因??USB偵錯也開啟了，是adb檔案問題還是傳輸線有問題，感謝回答，謝謝""]",2021-05-19
