Post Title,Link,Content,Date
[閒聊] 米Note 10 vs Lumia 950 XL 拍照,https://www.ptt.cc/bbs/MobileComm/M.1575400096.A.556.html,Content：  芬蘭的Nokia粉這次..(基本上他會用 808、1020、950XL vs 其他)  Xiaomi Mi Note 10 vs. Lumia 950 XL  https://youtu.be/nWxizwsevuE  應該是CC9 Pro 7P版本，(對岸有說 開發版更新後拍照變快，但畫質似乎有損)  都用預設值 CC9Pro 27MP，950XL 8MP  0:00:10 Specs  0:00:43 Daylight  0:04:06 Lowlight  0:07:28 2x zoom - daylight  0:09:11 2x zoom - lowlight  0:10:59 文字結論  The Mi Note 10 definitely has a top-notch camera.  Pictures look natural but sometimes colors are too washed out.  2X zoom performance isn't worth to brag about. ; Comment：兩支拍起來都不好看…。小米顏色偏清淡，比較令人意外的是好幾張的HDR效果。都是Lumia更好,2019/12/04
[閒聊] Lumia 950 XL 刷 Windows 10 ARM,https://www.ptt.cc/bbs/MobileComm/M.1548219540.A.D58.html,Content：  Demo Windows 10 ARM64 running on a Lumia 950 XL [WITH GPU]  https://youtu.be/-FzmpOr4HN8  還能跑 Fallout 1  Original Fallout on a phone - Lumia 950 XL with Windows 10 on ARM  https://youtu.be/pTPTVvKRqW8 ; Comment：喔喔！。這也太猛了吧喂喂，簡直笑翻了。可以跑安卓模擬器嗎。Rick rolled in 2019?!!!!!!。會不會裝幾個程式就炸了。第二支影片的 Lumia 950 XL 怎麼摔成這樣XD。這還在？,2019/01/23
