Post Title,Link
[問題] 是拿到壞掉的oppo a77嗎？,https://www.ptt.cc/bbs/MobileComm/M.1525673739.A.092.html
[問題] OPPO A77 通知欄很有事,https://www.ptt.cc/bbs/MobileComm/M.1520756200.A.690.html
[問題] HTC U ultra/ASUS zenfone4/oppo A77,https://www.ptt.cc/bbs/MobileComm/M.1518356401.A.68E.html
[問題]  OPPO A77閃退黑屏重開機很常見嗎？,https://www.ptt.cc/bbs/MobileComm/M.1516744915.A.4B4.html
[情報] OPPO A77 4G/64G PChome $9990,https://www.ptt.cc/bbs/MobileComm/M.1513395843.A.BB6.html
[問題] UU/ZF4SP/A77，中華399續約，手機7K內,https://www.ptt.cc/bbs/MobileComm/M.1511946850.A.D18.html
[問題] oppo A77過熱,https://www.ptt.cc/bbs/MobileComm/M.1504839027.A.D51.html
[問題] OPPO A77字體更換的問題,https://www.ptt.cc/bbs/MobileComm/M.1500557658.A.5D5.html
[情報] 陸版OPPO A77曝光：搭載Android 7.1.1,https://www.ptt.cc/bbs/MobileComm/M.1498140687.A.698.html
[情報] OPPO A77規格曝光，台灣搶先上市,https://www.ptt.cc/bbs/MobileComm/M.1494587648.A.3C9.html
